date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:49%20GMT	https://s4shanmugsundar.wixsite.com/20d93486.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/20d93486.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:51	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:49%20GMT	https://s4shanmugsundar.wixsite.com/9692b4a8.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/9692b4a8.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:51	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:50%20GMT	https://s4shanmugsundar.wixsite.com/914012ea.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/914012ea.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:51	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:50%20GMT	https://s4shanmugsundar.wixsite.com/ffa0eb8f.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/ffa0eb8f.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:52	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:51%20GMT	https://s4shanmugsundar.wixsite.com/fe8be6d6.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/fe8be6d6.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:52	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:51%20GMT	https://s4shanmugsundar.wixsite.com/a28cca36.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/a28cca36.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:52	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:51%20GMT	https://s4shanmugsundar.wixsite.com/02b07b80.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/02b07b80.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:51%20GMT	https://s4shanmugsundar.wixsite.com/265e9a4a.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/265e9a4a.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:52%20GMT	https://s4shanmugsundar.wixsite.com/ff342417.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/ff342417.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:54	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:52%20GMT	https://s4shanmugsundar.wixsite.com/2a1582d7.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/2a1582d7.min.css	(from https://s4shanmugsundar.wixsite.com/website)
